DATE,COMPOUND,BLOCK,DESCRIPTION,NAME,ALARM TYPE Type,ALARM DESC,ALM_RTN,PRIORITY,VALUE,ALARM VALUE,UNITS,LOCATION,GRP
2026-07-22 00:21:12.6,1BCS_7,IKTE3441,REHEAT TEMP LEFT (NORM),,LOABS,LOW,ALM,1,972.167,972.181,DEG.F,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1007,1
2026-07-22 00:21:16.6,1BCS_7,IKTE3741,REHEAT TEMP LEFT (REDUNDANT),,LOABS,LOW,ALM,1,972.167,972.181,DEG.F,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1007,1
2026-07-22 00:21:23.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,LODEV,LOW DEVIATION ALARM,RTN,3,46.4453,42.5,%,!hist14!CP1017,2
2026-07-22 00:21:46.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HHABS,TWIP ALARM 75 DEG DEVIATION,RTN,1,56.8952,75,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:21:47.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HIABS,TWIP ALARM 50 DEG DEVIATION,RTN,3,4.34662,50,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:22:16.8,1BFA_GSM_ALM,BFA_ALM14,MARK VIE A BFPT ALARM,,STA_7,SPD DEV OK,RTN,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:22:24.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,ALM,3,98.4297,5,%,!hist14!CP1017,2
2026-07-22 00:22:59.4,1MC,B37,MILL C TEMP,,HIABS,>150 DEGF,ALM,1,150.195,150,DEGF,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-22 00:23:05.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,RTN,3,54.0254,57.5,%,!hist14!CP1017,2
2026-07-22 00:24:36.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,ALM,3,98.6035,5,%,!hist14!CP1017,2
